time,open,high,low,close,volume,real_volume
2022-02-27,1.11255,1.12466,1.08854,1.09334,436773,0
2022-03-06,1.09274,1.11214,1.08061,1.09123,494435,0
2022-03-13,1.09216,1.11376,1.09008,1.10507,388193,0
2022-03-20,1.10562,1.10701,1.0961,1.09834,318325,0
2022-03-27,1.09849,1.11849,1.09448,1.10488,398958,0
2022-04-03,1.10321,1.10545,1.08365,1.08765,306231,0
2022-04-10,1.092,1.09333,1.07576,1.0809,308272,0
2022-04-17,1.08019,1.09363,1.07613,1.07969,330875,0
2022-04-24,1.08078,1.08138,1.04714,1.05427,433112,0
2022-05-01,1.05564,1.0642,1.04828,1.05446,426335,0
2022-05-08,1.05405,1.05926,1.03495,1.04074,461324,0
2022-05-15,1.04078,1.06072,1.03891,1.05621,385451,0
2022-05-22,1.05606,1.0765,1.05571,1.07312,355456,0
2022-05-29,1.07332,1.0787,1.06274,1.07188,332411,0
2022-06-05,1.07168,1.0774,1.05059,1.0519,374189,0
2022-06-12,1.05152,1.06014,1.0359,1.04953,571475,0
2022-06-19,1.04771,1.06056,1.0469,1.05554,426800,0
2022-06-26,1.05489,1.06149,1.03655,1.04246,439932,0
2022-07-03,1.04193,1.04628,1.00719,1.01854,419584,0
2022-07-10,1.01788,1.0185,0.99522,1.00875,478557,0
2022-07-17,1.00815,1.0278,1.00786,1.02143,408238,0
2022-07-24,1.02091,1.02578,1.00967,1.02265,410773,0
2022-07-31,1.02134,1.02939,1.01229,1.01781,418973,0
2022-08-07,1.01742,1.03686,1.01593,1.02589,330912,0
2022-08-14,1.02547,1.02683,1.00319,1.0041,350523,0
2022-08-21,1.00363,1.00899,0.99004,0.9965,379380,0
2022-08-28,0.99644,1.00791,0.9911,0.99564,421436,0
2022-09-04,0.99208,1.01133,0.9864,1.00406,414992,0
2022-09-11,1.01042,1.01978,0.99452,1.00142,417544,0
2022-09-18,1.00066,1.00506,0.96682,0.96885,451430,0
2022-09-25,0.96672,0.9854,0.95362,0.9801,631041,0
2022-10-02,0.97756,0.99996,0.9726,0.97407,482079,0
2022-10-09,0.97285,0.98086,0.96316,0.97241,457273,0
2022-10-16,0.97218,0.98758,0.9705,0.98611,453049,0
2022-10-23,0.9873,1.00938,0.98069,0.99658,473544,0
