time,open,high,low,close,volume,real_volume
2022-02-27,1.3309199999999999,1.34375,1.32024,1.32308,385785,0
2022-03-06,1.32214,1.32432,1.30276,1.30359,417629,0
2022-03-13,1.30386,1.32111,1.29993,1.31795,341125,0
2022-03-20,1.31688,1.32987,1.31199,1.31817,319815,0
2022-03-27,1.31787,1.31842,1.30511,1.31135,377324,0
2022-04-03,1.30926,1.31667,1.2982,1.3035999999999999,308501,0
2022-04-10,1.3026499999999999,1.31474,1.29728,1.30569,342984,0
2022-04-17,1.30462,1.30903,1.2823,1.28369,329855,0
2022-04-24,1.28289,1.28388,1.24115,1.25708,405987,0
2022-05-01,1.25787,1.2638,1.2276,1.23361,419603,0
2022-05-08,1.23483,1.24059,1.21554,1.22606,481407,0
2022-05-15,1.22352,1.25247,1.2217500000000001,1.2494,421452,0
2022-05-22,1.24744,1.26666,1.24714,1.26316,380651,0
2022-05-29,1.26174,1.2659799999999999,1.24583,1.24872,364325,0
2022-06-05,1.24935,1.25995,1.2301,1.23132,443668,0
2022-06-12,1.23179,1.24068,1.19339,1.22155,643523,0
2022-06-19,1.22235,1.23239,1.21608,1.22733,557693,0
2022-06-26,1.22712,1.23326,1.1976,1.20914,532845,0
2022-07-03,1.21064,1.2165,1.18758,1.20317,563344,0
2022-07-10,1.20146,1.20371,1.176,1.18678,578821,0
2022-07-17,1.18643,1.20639,1.18604,1.20051,460282,0
2022-07-24,1.1992,1.22455,1.1960600000000001,1.21803,441827,0
2022-07-31,1.2163,1.22932,1.20032,1.2070400000000001,443737,0
2022-08-07,1.20636,1.22765,1.20473,1.2136,368509,0
2022-08-14,1.21234,1.21481,1.17921,1.18296,397144,0
2022-08-21,1.18214,1.1901,1.17172,1.17389,430936,0
2022-08-28,1.17255,1.17605,1.1496,1.15128,493824,0
2022-09-04,1.14745,1.16479,1.14053,1.15886,521843,0
2022-09-11,1.16401,1.17382,1.13506,1.14228,480546,0
2022-09-18,1.14123,1.14608,1.08394,1.08481,482825,0
2022-09-25,1.07965,1.12346,1.03644,1.11614,717259,0
2022-10-02,1.11599,1.14954,1.10553,1.10929,604578,0
2022-10-09,1.10786,1.13806,1.09237,1.11788,627505,0
2022-10-16,1.12334,1.14397,1.1061,1.12946,656615,0
2022-10-23,1.13951,1.1645,1.12574,1.1612,663488,0
2022-10-30,1.15714,1.16133,1.11467,1.13729,595594,0
2022-11-06,1.13045,1.18545,1.12902,1.1832799999999999,632555,0
2022-11-13,1.17917,1.20284,1.17102,1.18814,640888,0
2022-11-20,1.18929,1.21534,1.17788,1.20911,531513,0
2022-11-27,1.2059,1.23103,1.19004,1.2291400000000001,601833,0
2022-12-04,1.22684,1.23444,1.21062,1.22634,565948,0
2022-12-11,1.22475,1.24463,1.21198,1.21432,591121,0
2022-12-18,1.21488,1.22417,1.19924,1.20517,537761,0
2022-12-25,1.20516,1.21256,1.20021,1.20808,349428,0
2023-01-01,1.20723,1.21054,1.18411,1.2092,476878,0
2023-01-08,1.2083599999999999,1.22488,1.20832,1.22333,550006,0
2023-01-15,1.2217,1.24356,1.21689,1.2399,488983,0
2023-01-22,1.24004,1.24479,1.2263,1.23983,403397,0
2023-01-29,1.23838,1.24174,1.20477,1.20532,448300,0
2023-02-05,1.2028699999999999,1.2194,1.19611,1.20544,429827,0
2023-02-12,1.20659,1.227,1.19149,1.20406,462523,0
2023-02-19,1.2024,1.21476,1.19281,1.19394,458752,0
2023-02-26,1.19499,1.21436,1.19223,1.2043,448759,0
2023-03-05,1.20283,1.21136,1.18025,1.20315,439876,0
2023-03-12,1.20817,1.22036,1.201,1.21772,616035,0
2023-03-19,1.22069,1.23432,1.21668,1.22295,420520,0
2023-03-26,1.22231,1.24233,1.22184,1.2328999999999999,347467,0
2023-04-02,1.23275,1.25252,1.22744,1.24163,305734,0
2023-04-09,1.24207,1.25468,1.23445,1.24138,307756,0
2023-04-16,1.24054,1.24745,1.23533,1.24418,302389,0
2023-04-23,1.24359,1.25842,1.23867,1.25662,340033,0
2023-04-30,1.2555,1.26524,1.24353,1.26309,341303,0
2023-05-07,1.26262,1.268,1.24447,1.2448,277517,0
2023-05-14,1.24526,1.2546599999999999,1.23917,1.24463,275187,0
2023-05-21,1.24356,1.24723,1.23081,1.23457,311585,0
2023-05-28,1.23362,1.25448,1.23271,1.24506,277207,0
2023-06-04,1.24489,1.25905,1.23684,1.2579500000000001,272499,0
2023-06-11,1.25586,1.28482,1.24869,1.28228,291718,0
2023-06-18,1.28125,1.28418,1.26852,1.27159,329848,0
2023-06-25,1.27072,1.27593,1.25909,1.26979,313040,0
2023-07-02,1.26899,1.2849599999999999,1.26585,1.2839800000000001,273672,0
2023-07-09,1.28315,1.31421,1.27506,1.30923,311678,0
2023-07-16,1.3092,1.31256,1.2816100000000001,1.28518,317313,0
